ID;Indeks;"Nowy klient";Dostawa;Klient;Razem;Płatność;Wyświetlany;Data
12;LYSRQAFWL;1;Polska;"K. Wojtyła";1 739,91 zł;"Płatność przy odbiorze";"Oczekiwanie na płatność przy odbiorze";"2024-12-09 22:02:35"
11;XUGMZTHLZ;1;Polska;"K. Wojtyła";1 543,02 zł;"Płatność przy odbiorze";"Oczekiwanie na płatność przy odbiorze";"2024-12-09 21:18:16"
10;ABHKYNULU;1;Polska;"K. Wojtyła";1 250,11 zł;"Płatność przy odbiorze";"Oczekiwanie na płatność przy odbiorze";"2024-12-09 21:05:18"
9;EJAYMEZDE;1;Polska;"K. Wojtyła";1 479,29 zł;"Płatność przy odbiorze";"Oczekiwanie na płatność przy odbiorze";"2024-12-09 21:01:51"
8;IUXQISALK;1;Polska;"M. Zuralski";65,67 zł;"Płatność przy odbiorze";"Oczekiwanie na płatność przy odbiorze";"2024-11-30 20:33:29"
7;HDAWJFBXK;1;Polska;"J. Radziszewski";28,51 zł;"Płatności elektroniczne";Anulowane;"2024-11-30 19:47:23"
6;YJXEHINVJ;1;Polska;"w. wefwe";2 502,93 zł;"Płatności elektroniczne";"Oczekiwanie na płatność przelewem";"2024-11-30 19:43:28"
5;KHWLILZLL;0;"Stany Zjednoczone";"J. DOE";27,30 zł;"Bank wire";"Oczekiwanie na płatność przelewem";"2024-11-22 23:09:05"
4;FFATNOMMJ;0;"Stany Zjednoczone";"J. DOE";21,30 zł;"Payment by check";"Oczekiwanie na płatność czekiem";"2024-11-22 23:09:05"
3;UOYEVOLI;0;"Stany Zjednoczone";"J. DOE";21,30 zł;"Payment by check";"Błąd płatności";"2024-11-22 23:09:05"
2;OHSATSERP;0;"Stany Zjednoczone";"J. DOE";169,90 zł;"Payment by check";"Oczekiwanie na płatność czekiem";"2024-11-22 23:09:05"
1;XKBKNABJK;1;"Stany Zjednoczone";"J. DOE";68,20 zł;"Payment by check";Anulowane;"2024-11-22 23:09:05"
